;x;y;z;time
0;-2.185721;-2.6521654;-2.6521654;1418119688937
1;-0.58601713;-2.7863655;-2.7863655;1418119688957
2;2.6604233;-2.3023906;-2.3023906;1418119688977
3;3.9413934;-2.13366;-2.13366;1418119689001
4;3.6969643;-2.5273356;-2.5273356;1418119689016
5;3.5739832;-3.718457;-3.718457;1418119689036
6;0.0031375885;-3.6009583;-3.6009583;1418119689056
7;-3.2928667;-2.9832306;-2.9832306;1418119689076
8;-2.77848;-2.8740005;-2.8740005;1418119689095
9;-0.68416595;-2.5427308;-2.5427308;1418119689115
10;0.31442738;-1.8412604;-1.8412604;1418119689135
11;0.4513712;-1.4040189;-1.4040189;1418119689154
12;0.11760616;-1.2849259;-1.2849259;1418119689174
13;0.6383419;-1.1676722;-1.1676722;1418119689195
14;0.3646698;-1.446888;-1.446888;1418119689213
15;1.0561824;-1.7228632;-1.7228632;1418119689233
16;-2.095327;-2.462184;-2.462184;1418119689253
17;-1.5266995;-1.5643673;-1.5643673;1418119689273
18;-0.36828828;-1.1841125;-1.1841125;1418119689293
19;0.42694712;-0.8988867;-0.8988867;1418119689312
20;0.9694927;-1.3034296;-1.3034296;1418119689332
21;0.06900573;-1.5963554;-1.5963554;1418119689352
22;-0.17952871;-1.2792368;-1.2792368;1418119689372
23;-0.50932574;-0.48892212;-0.48892212;1418119689392
24;-0.10079837;-0.9511175;-0.9511175;1418119689411
25;0.7750288;-0.93928623;-0.93928623;1418119689431
26;0.7983657;-1.3728056;-1.3728056;1418119689450
27;0.5461838;-1.0853243;-1.0853243;1418119689470
28;-0.5633123;-0.77704716;-0.77704716;1418119689490
29;-1.1865084;-1.2507219;-1.2507219;1418119689510
30;-0.80822897;-1.2979336;-1.2979336;1418119689529
31;-0.9996284;-1.1071692;-1.1071692;1418119689549
32;-1.1534154;-0.76807976;-0.76807976;1418119689569
33;-1.4575229;-0.5636358;-0.5636358;1418119689588
34;-1.3242803;-0.75755405;-0.75755405;1418119689608
35;-0.7386076;-0.5670996;-0.5670996;1418119689628
36;-0.4333156;-0.5845251;-0.5845251;1418119689648
37;-0.9337734;-0.5744486;-0.5744486;1418119689667
38;-0.76258886;-0.4253893;-0.4253893;1418119689688
39;-0.18203929;-0.1093359;-0.1093359;1418119689707
40;0.018123388;0.09354973;0.09354973;1418119689727
41;0.4667739;0.27672672;0.27672672;1418119689746
42;0.37930104;0.4403124;0.4403124;1418119689766
43;0.03914097;0.549634;0.549634;1418119689786
44;0.3065498;0.35300922;0.35300922;1418119689806
45;-0.187242;0.35830212;0.35830212;1418119689825
46;-0.73032045;-0.08813858;-0.08813858;1418119689845
47;-1.6226311;-0.12735271;-0.12735271;1418119689866
48;-2.412866;-0.4500513;-0.4500513;1418119689884
49;-2.8812718;-0.8470926;-0.8470926;1418119689904
50;-3.8544807;-1.1867018;-1.1867018;1418119689924
51;-4.5198946;-1.0509396;-1.0509396;1418119689944
52;-4.8204846;-1.5694542;-1.5694542;1418119689964
53;-4.1533947;-2.3279676;-2.3279676;1418119689983
54;-2.9580395;-2.7408953;-2.7408953;1418119690010
55;-1.4582968;-2.793006;-2.793006;1418119690023
56;-1.0858057;-2.9885292;-2.9885292;1418119690043
57;-1.7270002;-2.7178087;-2.7178087;1418119690062
58;-1.595118;-2.805131;-2.805131;1418119690082
59;-2.1620293;-3.2641745;-3.2641745;1418119690102
60;-3.1884923;-2.7031012;-2.7031012;1418119690121
61;0.13891745;-3.4460115;-3.4460115;1418119690141
62;2.5588322;-4.443055;-4.443055;1418119690161
63;3.1956692;-4.577832;-4.577832;1418119690181
64;-0.52372646;-4.197545;-4.197545;1418119690200
65;-1.725894;-5.0190573;-5.0190573;1418119690220
66;2.238124;-4.270152;-4.270152;1418119690240
67;5.037593;-3.4394941;-3.4394941;1418119690259
68;3.8582506;-2.9255047;-2.9255047;1418119690279
69;0.61095905;-3.0909016;-3.0909016;1418119690299
70;0.9063568;-3.0073986;-3.0073986;1418119690319
71;3.6167717;-2.5312414;-2.5312414;1418119690338
72;4.55789;-1.7660446;-1.7660446;1418119690358
73;2.2981606;-2.1914496;-2.1914496;1418119690378
74;2.5913944;-2.1627026;-2.1627026;1418119690398
75;1.9508886;-2.353009;-2.353009;1418119690417
76;3.7748299;-1.8804349;-1.8804349;1418119690437
77;6.1379185;-0.95985913;-0.95985913;1418119690456
78;6.5935984;-1.0091798;-1.0091798;1418119690476
79;5.187189;-0.9767735;-0.9767735;1418119690497
80;4.5816965;-1.1852586;-1.1852586;1418119690516
81;3.6871958;-1.440469;-1.440469;1418119690536
82;3.6636734;-1.3114274;-1.3114274;1418119690555
83;4.3484726;-0.90206575;-0.90206575;1418119690575
84;3.973032;-1.0624807;-1.0624807;1418119690595
85;2.0681705;-1.415103;-1.415103;1418119690615
86;2.2506466;-1.1237772;-1.1237772;1418119690635
87;3.132205;-0.8821435;-0.8821435;1418119690654
88;2.48489;-1.1679482;-1.1679482;1418119690674
89;0.50267696;-1.4239562;-1.4239562;1418119690694
90;0.76498604;-0.9965322;-0.9965322;1418119690713
91;2.0921574;-0.55292535;-0.55292535;1418119690733
92;2.6846848;-0.4541905;-0.4541905;1418119690753
93;2.4761114;-0.73558235;-0.73558235;1418119690772
94;2.229766;-0.97165346;-0.97165346;1418119690792
95;2.0373306;-1.1043291;-1.1043291;1418119690812
96;2.057701;-1.11725;-1.11725;1418119690832
97;2.8686085;-0.91738033;-0.91738033;1418119690851
98;3.763401;-0.89080024;-0.89080024;1418119690871
99;3.782013;-1.2211933;-1.2211933;1418119690891
100;1.4063892;-2.183589;-2.183589;1418119690910
101;0.7952366;-2.1763663;-2.1763663;1418119690930
102;0.9033251;-2.3336353;-2.3336353;1418119690951
103;2.033431;-1.7841134;-1.7841134;1418119690970
104;0.61719036;-2.2005765;-2.2005765;1418119690990
105;1.5085268;-2.2570336;-2.2570336;1418119691017
106;1.8250914;-2.0527005;-2.0527005;1418119691030
107;1.7832308;-1.7941186;-1.7941186;1418119691049
108;0.26480103;-3.2165623;-3.2165623;1418119691069
109;0.12108803;-2.8522534;-2.8522534;1418119691088
110;1.6799078;-2.7978716;-2.7978716;1418119691108
111;0.88146305;-2.8770995;-2.8770995;1418119691127
112;-0.009193897;-3.0914106;-3.0914106;1418119691148
113;-1.6175661;-3.381494;-3.381494;1418119691167
114;-2.6710587;-3.8151636;-3.8151636;1418119691187
115;-4.38598;-3.4340658;-3.4340658;1418119691207
116;-4.6275926;-2.7285328;-2.7285328;1418119691226
117;-4.067311;-2.2014751;-2.2014751;1418119691248
118;-2.3806767;-1.5155802;-1.5155802;1418119691267
119;0.6757126;-0.70779705;-0.70779705;1418119691286
120;0.8006301;-0.3854313;-0.3854313;1418119691306
121;0.44318247;-0.31785107;-0.31785107;1418119691325
122;-0.0011482239;-0.006822586;-0.006822586;1418119691344
123;-0.30522776;-0.22809792;-0.22809792;1418119691364
124;-0.86482453;-0.49517632;-0.49517632;1418119691384
125;-0.40129256;-1.1650085;-1.1650085;1418119691404
126;-0.5935068;-1.475008;-1.475008;1418119691424
127;-0.46672416;-0.4336872;-0.4336872;1418119691443
128;1.0717885;-2.1711245;-2.1711245;1418119691463
129;-1.8929231;-0.4366665;-0.4366665;1418119691483
130;-2.4380295;-0.39380836;-0.39380836;1418119691503
131;-2.4976463;-0.24020672;-0.24020672;1418119691522
132;-1.3033648;-0.8570709;-0.8570709;1418119691542
133;-0.4196024;-0.45271683;-0.45271683;1418119691561
134;-0.5685358;-0.23093128;-0.23093128;1418119691581
135;-1.1015873;-0.28931618;-0.28931618;1418119691601
136;-1.529108;-0.21573925;-0.21573925;1418119691621
137;-1.0042884;-0.33657932;-0.33657932;1418119691641
138;-0.92145836;-0.35585594;-0.35585594;1418119691660
139;-0.518489;-0.3375988;-0.3375988;1418119691680
140;-0.27519774;-0.24793148;-0.24793148;1418119691703
141;-0.61970496;-0.19740486;-0.19740486;1418119691720
142;-0.85625625;-0.17975426;-0.17975426;1418119691740
143;-0.57500273;-0.13350868;-0.13350868;1418119691759
144;-0.6680689;-0.077243805;-0.077243805;1418119691779
145;-0.6987085;-0.034145355;-0.034145355;1418119691799
146;-0.6696168;0.028601646;0.028601646;1418119691818
147;0.017357707;0.19137955;0.19137955;1418119691839
148;-0.47325677;0.30328178;0.30328178;1418119691858
149;-0.8070264;0.118795395;0.118795395;1418119691878
150;-0.86620706;0.069067;0.069067;1418119691899
151;-1.0779326;-0.1311922;-0.1311922;1418119691917
152;-2.0548291;-0.24006176;-0.24006176;1418119691937
153;-2.1226144;-0.44921017;-0.44921017;1418119691957
154;-3.0139055;-0.6336012;-0.6336012;1418119691977
155;-3.963501;-1.041584;-1.041584;1418119692001
156;-4.238031;-1.4927158;-1.4927158;1418119692016
157;-4.1741447;-1.723155;-1.723155;1418119692035
158;-3.8980606;-2.165331;-2.165331;1418119692055
159;-3.7222483;-2.6999006;-2.6999006;1418119692076
160;-3.5795672;-2.910822;-2.910822;1418119692095
161;-3.6735947;-3.3051615;-3.3051615;1418119692114
162;-3.4938064;-3.2796412;-3.2796412;1418119692134
163;-2.1595821;-2.8178244;-2.8178244;1418119692155
164;-1.2572718;-3.2902946;-3.2902946;1418119692174
165;-0.27656937;-3.4083538;-3.4083538;1418119692193
166;-0.22993994;-3.355897;-3.355897;1418119692213
167;-0.18004942;-3.44808;-3.44808;1418119692233
168;0.552928;-2.9805355;-2.9805355;1418119692252
169;0.91246605;-2.6998787;-2.6998787;1418119692272
170;1.5452337;-3.0663733;-3.0663733;1418119692292
171;1.3707123;-3.2338428;-3.2338428;1418119692312
172;-0.24834728;-3.3207097;-3.3207097;1418119692333
173;0.81335926;-3.0801046;-3.0801046;1418119692353
174;3.4579115;-2.338229;-2.338229;1418119692386
175;5.3502083;-2.1524248;-2.1524248;1418119692392
176;3.3052511;-2.0392866;-2.0392866;1418119692412
177;0.96041584;-2.7786138;-2.7786138;1418119692431
178;1.2671347;-2.205528;-2.205528;1418119692450
179;2.714446;-1.9307994;-1.9307994;1418119692470
180;3.9881153;-1.7740462;-1.7740462;1418119692489
181;4.0862465;-1.1265019;-1.1265019;1418119692509
182;2.569994;-1.4428009;-1.4428009;1418119692529
183;4.1201057;-0.8692467;-0.8692467;1418119692549
184;4.438011;-0.8909719;-0.8909719;1418119692568
185;4.936079;-0.42294836;-0.42294836;1418119692588
186;4.241007;-0.45525956;-0.45525956;1418119692608
187;3.1033726;-0.71704316;-0.71704316;1418119692628
188;2.5083933;-0.47217488;-0.47217488;1418119692647
189;2.2901802;-0.66396475;-0.66396475;1418119692667
190;3.2988367;-0.507159;-0.507159;1418119692688
191;3.3099337;-0.5281117;-0.5281117;1418119692708
192;1.6409626;-0.76809;-0.76809;1418119692728
193;0.99198437;-0.7302973;-0.7302973;1418119692746
194;1.6158171;-0.5095401;-0.5095401;1418119692767
195;2.1399508;-0.24954629;-0.24954629;1418119692795
196;1.8373518;-0.3442757;-0.3442757;1418119692805
197;1.4638996;-0.6476877;-0.6476877;1418119692826
198;1.8856869;-0.7337148;-0.7337148;1418119692845
199;1.8156672;-0.6605773;-0.6605773;1418119692865
200;2.5424385;-0.6280725;-0.6280725;1418119692885
201;3.4167032;-0.7438053;-0.7438053;1418119692905
202;3.65065;-0.6855153;-0.6855153;1418119692924
203;3.3069057;-0.8108205;-0.8108205;1418119692944
204;2.4594088;-1.0535507;-1.0535507;1418119692963
205;-0.03145981;-1.9166818;-1.9166818;1418119692984
206;-0.56376076;-1.4626752;-1.4626752;1418119693007
207;0.3010149;-1.2715147;-1.2715147;1418119693023
208;0.9664316;-1.3468232;-1.3468232;1418119693043
209;1.2628527;-1.4211555;-1.4211555;1418119693061
210;1.0627623;-1.8437582;-1.8437582;1418119693082
211;1.2254992;-1.7210727;-1.7210727;1418119693101
212;-0.43088818;-2.2984273;-2.2984273;1418119693121
213;-1.8132334;-1.9851232;-1.9851232;1418119693141
214;-1.5085783;-1.5392008;-1.5392008;1418119693161
215;-0.43065548;-1.1823883;-1.1823883;1418119693181
216;1.4373188;-0.9073839;-0.9073839;1418119693201
217;2.6634197;-1.1204872;-1.1204872;1418119693220
218;0.9087248;-2.0878425;-2.0878425;1418119693241
219;-1.2386079;-2.2956681;-2.2956681;1418119693259
220;-1.9418187;-2.2032104;-2.2032104;1418119693279
221;-2.1227574;-1.7009377;-1.7009377;1418119693299
222;-1.1920729;-1.2991991;-1.2991991;1418119693319
223;-0.28104258;-1.2050781;-1.2050781;1418119693338
224;0.3783641;-1.0325437;-1.0325437;1418119693358
