111;x;y;z;time
0;-0.094110586;0.037359238;0.037359238;1418122811916
1;-0.14264391;-0.054159164;-0.054159164;1418122811936
2;-0.22869761;-0.06510258;-0.06510258;1418122811975
3;0.16320856;-0.0845871;-0.0845871;1418122811976
4;0.1300925;-0.09354305;-0.09354305;1418122812038
5;0.04669182;0.07834053;0.07834053;1418122812038
6;0.15975884;0.181777;0.181777;1418122812038
7;-0.32784382;-0.030212402;-0.030212402;1418122812095
8;-0.14942673;-0.13906479;-0.13906479;1418122812095
9;-0.11656157;-0.1794653;-0.1794653;1418122812095
10;-0.2796284;-0.12981892;-0.12981892;1418122812155
11;-0.38438603;-0.16405773;-0.16405773;1418122812156
12;-0.19332205;-0.13778782;-0.13778782;1418122812156
13;-0.14911968;-0.055675507;-0.055675507;1418122812191
14;-0.35515708;-0.024569511;-0.024569511;1418122812239
15;-0.3323848;-0.111177444;-0.111177444;1418122812240
16;-0.2977689;-0.018405914;-0.018405914;1418122812240
17;-0.56403756;-0.08741665;-0.08741665;1418122812274
18;-0.18420482;0.010985374;0.010985374;1418122812274
19;-0.03204766;-0.06638241;-0.06638241;1418122812306
20;0.031099036;-0.060521126;-0.060521126;1418122812342
21;0.40408775;-0.13289547;-0.13289547;1418122812342
22;0.361749;-0.044034958;-0.044034958;1418122812351
23;0.06717377;-0.12608147;-0.12608147;1418122812377
24;-0.1515616;-0.17317009;-0.17317009;1418122812391
25;-0.15519337;-0.037073135;-0.037073135;1418122812410
26;-0.095015936;0.09870434;0.09870434;1418122812456
27;0.36790314;0.12355232;0.12355232;1418122812456
28;1.2675864;0.26155853;0.26155853;1418122812489
29;1.4757519;0.23328018;0.23328018;1418122812490
30;0.3629243;0.4928217;0.4928217;1418122812523
31;-0.16309157;0.46488;0.46488;1418122812556
32;0.56465;0.5066166;0.5066166;1418122812556
33;1.2090641;0.13097382;0.13097382;1418122812590
34;1.8919688;0.34223557;0.34223557;1418122812590
35;0.13007829;0.020323753;0.020323753;1418122812636
36;-0.48947656;-0.14208221;-0.14208221;1418122812636
37;1.121294;-0.35483074;-0.35483074;1418122812682
38;0.8203569;-1.0672035;-1.0672035;1418122812682
39;-0.77250445;-1.7603226;-1.7603226;1418122812687
40;-1.1394973;-2.1339178;-2.1339178;1418122812713
41;-1.0552738;-2.7911968;-2.7911968;1418122812727
42;-0.3468052;-2.9618635;-2.9618635;1418122812746
43;0.3767547;-3.5076408;-3.5076408;1418122812777
44;0.041268475;-4.358852;-4.358852;1418122812786
45;-0.87696064;-5.265316;-5.265316;1418122812809
46;-0.23743871;-6.2303805;-6.2303805;1418122812848
47;0.907725;-6.540191;-6.540191;1418122812848
48;1.2744145;-6.627917;-6.627917;1418122812888
49;-0.53308034;-6.820988;-6.820988;1418122812889
50;-2.4989004;-7.1060762;-7.1060762;1418122812920
51;-2.4856534;-7.4073505;-7.4073505;1418122812924
52;-1.8037285;-8.351672;-8.351672;1418122812952
53;-3.2387092;-7.8661804;-7.8661804;1418122812984
54;-3.5287952;-7.686285;-7.686285;1418122812984
55;-2.6548343;-7.3861313;-7.3861313;1418122813016
56;-0.7112218;-6.883964;-6.883964;1418122813023
57;-0.07353151;-6.709399;-6.709399;1418122813055
58;1.0155462;-6.184042;-6.184042;1418122813095
59;2.4971695;-5.953204;-5.953204;1418122813095
60;3.396075;-5.7310295;-5.7310295;1418122813102
61;3.9401283;-5.375904;-5.375904;1418122813126
62;4.236653;-4.886211;-4.886211;1418122813159
63;3.6795645;-4.8901396;-4.8901396;1418122813192
64;3.6505435;-4.93468;-4.93468;1418122813192
65;3.296376;-4.957781;-4.957781;1418122813226
66;2.257044;-4.9906573;-4.9906573;1418122813226
67;2.0850775;-5.0878773;-5.0878773;1418122813257
68;2.7363124;-5.158854;-5.158854;1418122813261
69;3.119639;-5.20895;-5.20895;1418122813293
70;3.4868617;-4.9191484;-4.9191484;1418122813326
71;2.4692795;-5.1685038;-5.1685038;1418122813326
72;1.5181233;-5.2344623;-5.2344623;1418122813358
73;1.6056637;-5.6893215;-5.6893215;1418122813359
74;0.8111992;-5.8921237;-5.8921237;1418122813389
75;-1.0694916;-6.188396;-6.188396;1418122813421
76;-1.5687591;-5.8691235;-5.8691235;1418122813421
77;-1.5631194;-5.912266;-5.912266;1418122813452
78;-0.89115983;-6.00299;-6.00299;1418122813458
79;-0.7793448;-6.0848937;-6.0848937;1418122813483
80;-2.3555565;-6.7612267;-6.7612267;1418122813515
81;-3.1185806;-6.6556644;-6.6556644;1418122813518
82;-1.1609604;-6.3053904;-6.3053904;1418122813546
83;1.2866735;-6.344781;-6.344781;1418122813578
84;0.64720416;-7.045461;-7.045461;1418122813578
85;-1.5565257;-8.131836;-8.131836;1418122813611
86;-0.88152254;-7.111763;-7.111763;1418122813642
87;1.7996687;-5.7006903;-5.7006903;1418122813642
88;2.00826;-5.21614;-5.21614;1418122813673
89;-0.005253613;-5.923727;-5.923727;1418122813676
90;-0.9243489;-5.55717;-5.55717;1418122813704
91;-0.21182013;-3.5001593;-3.5001593;1418122813736
92;0.46760613;-1.7260208;-1.7260208;1418122813736
93;1.6273227;-1.0547915;-1.0547915;1418122813767
94;1.5614655;-0.45279694;-0.45279694;1418122813775
95;-0.1265378;0.17986965;0.17986965;1418122813802
96;-1.612305;0.49970913;0.49970913;1418122813814
97;-2.4595184;0.28641224;0.28641224;1418122813834
98;-1.8135407;0.12104225;0.12104225;1418122813880
99;-1.1688541;0.33224678;0.33224678;1418122813881
100;-0.34652078;0.5956688;0.5956688;1418122813921
101;0.7728498;0.7153292;0.7153292;1418122813922
102;0.5148293;0.6811342;0.6811342;1418122813953
103;-0.05518186;0.8970642;0.8970642;1418122813953
104;0.15566397;1.1114149;1.1114149;1418122813985
105;-0.40873992;0.6076765;0.6076765;1418122813992
106;-1.101648;-0.4708042;-0.4708042;1418122814018
107;-1.2045009;-1.0180235;-1.0180235;1418122814032
108;-1.3012645;-1.3958979;-1.3958979;1418122814057
109;-1.1273937;-1.8714895;-1.8714895;1418122814098
110;-0.4870125;-2.8297834;-2.8297834;1418122814098
111;0.06998128;-4.348342;-4.348342;1418122814131
112;0.40014154;-5.3010426;-5.3010426;1418122814131
113;-0.38766503;-6.1277514;-6.1277514;1418122814165
114;-0.63023907;-7.186941;-7.186941;1418122814198
115;-0.09086772;-7.8311114;-7.8311114;1418122814198
116;0.057656318;-10.137463;-10.137463;1418122814232
117;1.1737576;-11.24497;-11.24497;1418122814232
118;0.57379645;-11.841948;-11.841948;1418122814264
119;-1.2779704;-11.891527;-11.891527;1418122814304
120;-1.6535615;-11.186426;-11.186426;1418122814304
121;0.2953968;-10.003535;-10.003535;1418122814309
122;1.5223577;-10.180222;-10.180222;1418122814344
123;0.70750546;-9.759281;-9.759281;1418122814348
124;-0.6816101;-10.02067;-10.02067;1418122814389
125;-0.006878853;-9.591592;-9.591592;1418122814389
126;0.7075548;-8.918894;-8.918894;1418122814423
127;2.5919056;-8.609249;-8.609249;1418122814427
128;3.4171398;-8.1069355;-8.1069355;1418122814456
129;3.453178;-7.4632215;-7.4632215;1418122814467
130;3.248075;-6.600457;-6.600457;1418122814487
131;3.6284876;-6.0189085;-6.0189085;1418122814527
132;4.355055;-5.145005;-5.145005;1418122814527
133;4.3160834;-5.089076;-5.089076;1418122814561
134;3.5439367;-5.182293;-5.182293;1418122814566
135;2.9833167;-4.801258;-4.801258;1418122814594
136;2.7854905;-4.5630107;-4.5630107;1418122814625
137;3.3366718;-4.5306993;-4.5306993;1418122814625
138;3.365599;-4.8501205;-4.8501205;1418122814656
139;3.8537915;-5.0510664;-5.0510664;1418122814665
140;3.2379265;-5.857754;-5.857754;1418122814688
141;2.7531414;-6.134038;-6.134038;1418122814721
142;2.9943793;-6.3795977;-6.3795977;1418122814724
143;2.4269333;-7.2820168;-7.2820168;1418122814756
144;0.56403327;-8.0763855;-8.0763855;1418122814763
145;0.30844033;-9.126571;-9.126571;1418122814791
146;-2.839086;-8.152343;-8.152343;1418122814824
147;-2.7440095;-7.721838;-7.721838;1418122814825
148;-0.065849185;-8.399592;-8.399592;1418122814857
149;0.08519375;-9.799215;-9.799215;1418122814862
150;-3.8776746;-10.738515;-10.738515;1418122814890
151;-4.3624926;-9.694094;-9.694094;1418122814902
152;-0.27040654;-8.765528;-8.765528;1418122814923
153;2.9797525;-8.245691;-8.245691;1418122814956
154;1.9787604;-7.829508;-7.829508;1418122814961
155;-1.8571069;-8.444308;-8.444308;1418122815000
156;-1.3428121;-7.00119;-7.00119;1418122815002
157;-0.29611656;-5.110631;-5.110631;1418122815042
158;0.6604094;-2.8721266;-2.8721266;1418122815043
159;0.28248453;-2.651228;-2.651228;1418122815074
160;-1.2019595;-2.817604;-2.817604;1418122815079
161;-0.7956433;-1.7894678;-1.7894678;1418122815106
162;-0.3204319;-0.71682453;-0.71682453;1418122815120
163;-0.3659609;0.12208462;0.12208462;1418122815139
164;-1.3659933;0.27101326;0.27101326;1418122815169
165;-1.3239678;0.46260166;0.46260166;1418122815201
166;-0.99336857;0.54070187;0.54070187;1418122815201
167;-0.77910036;0.36392498;0.36392498;1418122815232
168;-0.5408609;-0.009375572;-0.009375572;1418122815264
169;-0.033803046;-0.11743164;-0.11743164;1418122815264
170;-1.1045377;-0.6651163;-0.6651163;1418122815297
171;-1.2644906;-0.83968925;-0.83968925;1418122815297
172;-0.5376363;-1.0268011;-1.0268011;1418122815330
173;-0.8089547;-1.6872892;-1.6872892;1418122815337
174;-1.5657659;-2.6766682;-2.6766682;1418122815362
175;-1.0602589;-3.401329;-3.401329;1418122815394
176;-0.56455874;-3.9576693;-3.9576693;1418122815396
177;-0.6759113;-4.8152714;-4.8152714;1418122815425
178;0.739466;-5.807911;-5.807911;1418122815438
179;0.49386874;-6.947589;-6.947589;1418122815458
180;-0.6281354;-8.044338;-8.044338;1418122815488
181;-0.8884085;-8.755407;-8.755407;1418122815495
182;-0.9895638;-8.798704;-8.798704;1418122815521
183;-0.9835628;-9.435001;-9.435001;1418122815535
184;-0.7893027;-10.372228;-10.372228;1418122815554
185;-0.6757045;-12.6502;-12.6502;1418122815587
186;-1.3646222;-12.7246895;-12.7246895;1418122815621
187;-2.0458488;-11.613508;-11.613508;1418122815621
188;-0.45343697;-10.514401;-10.514401;1418122815652
189;2.2243533;-9.88422;-9.88422;1418122815655
190;2.4008002;-9.189057;-9.189057;1418122815684
191;1.58524;-9.79681;-9.79681;1418122815716
192;2.0618749;-8.821024;-8.821024;1418122815716
193;2.3500805;-7.4618416;-7.4618416;1418122815746
194;2.3185062;-6.670547;-6.670547;1418122815752
195;2.898774;-6.1728725;-6.1728725;1418122815778
196;3.8330112;-5.822193;-5.822193;1418122815809
197;3.5270464;-5.4598684;-5.4598684;1418122815812
198;3.8766196;-4.651906;-4.651906;1418122815841
199;4.406491;-4.243365;-4.243365;1418122815852
200;4.176072;-4.697164;-4.697164;1418122815872
201;3.4301789;-5.0272427;-5.0272427;1418122815907
202;2.2205448;-5.0418787;-5.0418787;1418122815910
203;2.0076776;-5.0213532;-5.0213532;1418122815944
204;2.236177;-4.945245;-4.945245;1418122815950
205;2.5044582;-5.1728754;-5.1728754;1418122815980
206;2.408918;-5.53464;-5.53464;1418122815989
207;2.0407312;-6.3229246;-6.3229246;1418122816015
208;0.51334393;-6.7299743;-6.7299743;1418122816049
209;0.0911209;-6.457702;-6.457702;1418122816049
210;0.73551476;-6.520605;-6.520605;1418122816081
211;1.6091733;-7.077292;-7.077292;1418122816089
212;1.2626629;-7.583965;-7.583965;1418122816115
213;-0.33618158;-7.5017843;-7.5017843;1418122816146
214;-1.6206015;-6.889427;-6.889427;1418122816148
215;-1.293618;-6.619664;-6.619664;1418122816178
216;0.8034495;-7.295973;-7.295973;1418122816187
217;-0.58532214;-7.188618;-7.188618;1418122816210
218;-2.2238598;-7.2637725;-7.2637725;1418122816244
219;-2.092597;-6.825726;-6.825726;1418122816247
220;1.0790108;-6.502662;-6.502662;1418122816277
221;3.0074215;-5.9982777;-5.9982777;1418122816287
222;0.32236665;-4.791439;-4.791439;1418122816310
223;-1.283577;-4.7154427;-4.7154427;1418122816343
224;-0.17719314;-4.1144047;-4.1144047;1418122816347
225;-0.31645745;-3.367381;-3.367381;1418122816379
226;-0.6368519;-2.0154638;-2.0154638;1418122816386
227;-1.4963485;-0.83302593;-0.83302593;1418122816417
228;-2.602676;-0.7408514;-0.7408514;1418122816464
229;-2.131334;-0.6484413;-0.6484413;1418122816464
230;-0.82930356;-0.08494854;-0.08494854;1418122816465
231;0.12223533;0.73698616;0.73698616;1418122816502
232;0.59807265;1.1095123;1.1095123;1418122816505
233;0.5705095;0.6858702;0.6858702;1418122816549
234;0.864824;0.8399029;0.8399029;1418122816549
235;1.00224;1.7194128;1.7194128;1418122816583
236;0.17497021;1.6119862;1.6119862;1418122816584
237;-0.3982278;0.5207243;0.5207243;1418122816616
238;-0.28014302;-0.55010605;-0.55010605;1418122816623
239;-0.28166085;-0.9411087;-0.9411087;1418122816647
240;0.35875577;-0.95665646;-0.95665646;1418122816677
241;-0.007876396;-1.4239149;-1.4239149;1418122816682
242;-0.077908784;-2.4501314;-2.4501314;1418122816708
243;0.42793018;-3.5827618;-3.5827618;1418122816739
244;0.12900022;-4.6854773;-4.6854773;1418122816742
245;-0.5148;-5.797614;-5.797614;1418122816774
246;-0.56138045;-6.6792183;-6.6792183;1418122816806
247;-0.79686785;-8.278759;-8.278759;1418122816806
248;-0.6494851;-10.638017;-10.638017;1418122816837
249;-0.17167896;-10.992825;-10.992825;1418122816841
250;0.23295307;-11.607264;-11.607264;1418122816869
251;-0.011392117;-12.119445;-12.119445;1418122816900
252;-0.35714114;-11.997952;-11.997952;1418122816900
253;-0.83873534;-13.627897;-13.627897;1418122816931
254;1.3088527;-12.690216;-12.690216;1418122816940
255;0.95138216;-10.893706;-10.893706;1418122816962
256;1.9962599;-9.320056;-9.320056;1418122816994
257;3.2803965;-8.471714;-8.471714;1418122817026
258;3.712273;-8.081116;-8.081116;1418122817027
259;3.804284;-7.789358;-7.789358;1418122817061
260;3.746246;-6.773036;-6.773036;1418122817061
261;4.4269333;-5.8233933;-5.8233933;1418122817091
262;4.847906;-5.2521477;-5.2521477;1418122817123
263;5.592879;-4.5027094;-4.5027094;1418122817123
264;4.796344;-4.6182404;-4.6182404;1418122817153
265;4.1849613;-4.381138;-4.381138;1418122817157
266;4.6171093;-4.0899525;-4.0899525;1418122817184
267;3.3891034;-4.1950703;-4.1950703;1418122817215
268;2.7420878;-4.310726;-4.310726;1418122817216
269;2.9861755;-4.5079837;-4.5079837;1418122817246
270;2.208473;-4.6397467;-4.6397467;1418122817256
271;1.5527624;-4.7935696;-4.7935696;1418122817277
272;1.8812928;-5.0298543;-5.0298543;1418122817309
273;2.3582559;-5.5225616;-5.5225616;1418122817340
274;2.0516515;-6.257838;-6.257838;1418122817341
275;1.3136041;-7.0698304;-7.0698304;1418122817372
276;-0.63533497;-7.4115257;-7.4115257;1418122817374
277;-1.5727879;-7.1091557;-7.1091557;1418122817402
278;-0.015988827;-7.437728;-7.437728;1418122817433
279;1.8756131;-7.9319887;-7.9319887;1418122817434
280;0.9094691;-8.375169;-8.375169;1418122817464
281;0.046856284;-8.3325615;-8.3325615;1418122817474
282;0.46018147;-7.981291;-7.981291;1418122817495
283;-0.03382981;-7.6543355;-7.6543355;1418122817526
284;0.6142664;-7.0834513;-7.0834513;1418122817558
285;1.4183803;-7.166078;-7.166078;1418122817558
286;-0.24460745;-6.8052835;-6.8052835;1418122817588
287;-0.8708525;-6.5810003;-6.5810003;1418122817592
288;-0.5535755;-6.014735;-6.014735;1418122817620
289;-1.0546412;-5.27297;-5.27297;1418122817650
290;-2.0516055;-5.049116;-5.049116;1418122817651
291;-1.471439;-4.221486;-4.221486;1418122817682
292;-0.2874686;-3.0080404;-3.0080404;1418122817691
293;0.51742613;-1.8277388;-1.8277388;1418122817712
294;0.53203917;-1.229888;-1.229888;1418122817743
295;-0.34743485;-1.4521532;-1.4521532;1418122817775
296;-0.9909698;-1.2809505;-1.2809505;1418122817775
297;0.5722015;-0.114406586;-0.114406586;1418122817806
