2;x;y;z;time
440;-0.061327815;0.016450882;0.016450882;1420462582198
441;-0.07685959;0.0017929077;0.0017929077;1420462582218
442;-0.04672122;0.017457962;0.017457962;1420462582240
443;-0.061906338;-0.031895638;-0.031895638;1420462582263
444;-0.018462539;-0.008220673;-0.008220673;1420462582281
445;-0.08652234;-0.005999565;-0.005999565;1420462582303
446;-0.049096942;-0.008489609;-0.008489609;1420462582327
447;-0.0490489;0.005039215;0.005039215;1420462582346
448;-0.05430591;-0.011898041;-0.011898041;1420462582363
449;-0.088264346;0.0405941;0.0405941;1420462582380
450;-0.070776224;0.040410995;0.040410995;1420462582398
451;-0.06505942;0.0054836273;0.0054836273;1420462582415
452;-0.053131223;-0.07922077;-0.07922077;1420462582437
453;-0.07575297;-0.027908325;-0.027908325;1420462582464
454;0.011721134;-0.0015592575;-0.0015592575;1420462582479
455;-0.03602743;0.0054798126;0.0054798126;1420462582498
456;-0.077536106;-0.049646378;-0.049646378;1420462582514
457;-0.037806988;0.030532837;0.030532837;1420462582535
458;-0.05640161;-0.039286613;-0.039286613;1420462582565
459;-0.02014494;0.02441597;0.02441597;1420462582581
460;0.009476662;0.033314705;0.033314705;1420462582598
461;-0.029735088;0.12511063;0.12511063;1420462582618
462;0.060233474;-0.09212685;-0.09212685;1420462582633
463;-0.07654512;-0.018953323;-0.018953323;1420462582653
464;-0.044582248;-0.014860153;-0.014860153;1420462582679
465;-0.05939758;3.3569336E-4;3.3569336E-4;1420462582707
466;-0.08292806;-0.040530205;-0.040530205;1420462582715
467;-0.046532393;0.026262283;0.026262283;1420462582732
468;-0.06571329;0.07938862;0.07938862;1420462582754
469;-0.049322963;0.013409615;0.013409615;1420462582780
470;-0.44437826;0.27846336;0.27846336;1420462582798
471;0.036227703;-0.0038585663;-0.0038585663;1420462582813
472;0.0035455227;0.022618294;0.022618294;1420462582830
473;-0.015216947;-0.10089016;-0.10089016;1420462582850
474;-0.009800434;-0.04965973;-0.04965973;1420462582870
475;0.12716532;-0.08263111;-0.08263111;1420462582892
476;0.12046981;0.07292843;0.07292843;1420462582913
477;-0.042438865;0.005290985;0.005290985;1420462582929
478;0.009995103;0.049894333;0.049894333;1420462582949
479;0.06391227;-0.8323641;-0.8323641;1420462582969
480;-0.006552577;-0.042359352;-0.042359352;1420462582992
481;-0.03347373;0.01250267;0.01250267;1420462583014
482;-0.031751275;0.017189026;0.017189026;1420462583041
483;0.022231936;-0.0148983;-0.0148983;1420462583048
484;-0.0012290478;7.638931E-4;7.638931E-4;1420462583067
485;0.01166451;-0.04047489;-0.04047489;1420462583088
486;-0.045051575;-0.2541256;-0.2541256;1420462583116
487;0.031783104;-0.1213913;-0.1213913;1420462583140
488;0.043135524;0.028736115;0.028736115;1420462583147
489;-0.032601237;-0.068146706;-0.068146706;1420462583168
490;0.12652737;-0.15184021;-0.15184021;1420462583187
491;0.1980505;-0.44773483;-0.44773483;1420462583217
492;0.53728086;-0.7328224;-0.7328224;1420462583242
493;1.2844949;-1.5273237;-1.5273237;1420462583246
494;2.0886772;-2.9209824;-2.9209824;1420462583266
495;2.0571225;-4.4451866;-4.4451866;1420462583288
496;4.651955;-7.2482567;-7.2482567;1420462583318
497;0.25254035;-9.572252;-9.572252;1420462583341
498;0.8557569;-7.8196373;-7.8196373;1420462583345
499;4.283136;-8.426552;-8.426552;1420462583367
500;1.9538362;-6.506938;-6.506938;1420462583387
501;0.9446442;-4.6526823;-4.6526823;1420462583404
502;1.5940698;-5.3092823;-5.3092823;1420462583423
503;8.852482E-4;-5.6066628;-5.6066628;1420462583450
504;-0.3897066;-4.9341908;-4.9341908;1420462583474
505;-1.2742534;-4.11368;-4.11368;1420462583483
506;-1.3824294;-3.7840433;-3.7840433;1420462583502
507;-0.5455015;-1.4300766;-1.4300766;1420462583521
508;0.2939849;0.57389545;0.57389545;1420462583550
509;0.14351988;1.7691727;1.7691727;1420462583573
510;-0.17092323;2.659068;2.659068;1420462583582
511;0.4297688;3.7953653;3.7953653;1420462583602
512;0.540077;4.773327;4.773327;1420462583624
513;0.25502014;6.2587547;6.2587547;1420462583651
514;0.5621357;8.389103;8.389103;1420462583669
515;-0.024195671;9.121923;9.121923;1420462583696
516;-1.2693123;8.263251;8.263251;1420462583701
517;-1.2383579;8.839243;8.839243;1420462583722
518;-1.4966344;9.64846;9.64846;1420462583768
519;-1.5053973;10.55903;10.55903;1420462583769
520;-0.94275963;11.541747;11.541747;1420462583786
521;-1.0736506;11.784612;11.784612;1420462583806
522;-2.08681;9.763547;9.763547;1420462583825
523;-1.7854878;8.589873;8.589873;1420462583838
524;-1.978413;7.5733833;7.5733833;1420462583859
525;-2.1627736;6.403757;6.403757;1420462583885
526;-3.3535662;4.660265;4.660265;1420462583906
527;-4.287673;2.7110567;2.7110567;1420462583918
528;-1.8769841;3.8642015;3.8642015;1420462583937
529;-1.7063638;3.1687584;3.1687584;1420462583957
530;-2.8452654;1.8705521;1.8705521;1420462583986
531;-1.7907267;1.5999956;1.5999956;1420462584007
532;-3.2203715;-0.050395012;-0.050395012;1420462584017
533;-4.715625;-1.6353683;-1.6353683;1420462584037
