2;x;y;z;time
0;0.19684839;0.20977259;0.20977259;1420465010439
1;0.2924354;0.22195578;0.22195578;1420465010462
2;0.34147418;0.13982058;0.13982058;1420465010485
3;0.2974689;-0.0025029182;-0.0025029182;1420465010499
4;0.45013213;-0.0711627;-0.0711627;1420465010518
5;0.1978358;-0.007478714;-0.007478714;1420465010541
6;-0.0056670904;0.075917244;0.075917244;1420465010559
7;-0.1642803;0.028134823;0.028134823;1420465010578
8;-0.16892576;-0.41734028;-0.41734028;1420465010597
9;-0.44197452;-0.051647663;-0.051647663;1420465010617
10;0.3425231;0.17946672;0.17946672;1420465010637
11;0.5211667;0.17390633;0.17390633;1420465010659
12;0.25430846;0.4424801;0.4424801;1420465010676
13;0.04393804;0.27426815;0.27426815;1420465010696
14;0.060331583;0.06480551;0.06480551;1420465010716
15;0.22540879;0.029946804;0.029946804;1420465010736
16;0.2181127;0.25593042;0.25593042;1420465010760
17;0.22934175;0.12618971;0.12618971;1420465010780
18;0.013413072;0.0024309158;0.0024309158;1420465010800
19;0.07024491;0.052742958;0.052742958;1420465010818
20;-0.06526768;0.049058437;0.049058437;1420465010835
21;-0.029230356;-0.10635042;-0.10635042;1420465010855
22;-0.06297791;-0.18686724;-0.18686724;1420465010881
23;-0.10881293;-0.26833868;-0.26833868;1420465010898
24;0.03635657;0.030258179;0.030258179;1420465010914
25;0.35413945;5.6552887E-4;5.6552887E-4;1420465010933
26;0.4261179;-0.013645172;-0.013645172;1420465010955
27;0.06883073;-0.07114124;-0.07114124;1420465010980
28;-0.010096312;-0.14816809;-0.14816809;1420465010999
29;0.07126069;0.05344248;0.05344248;1420465011017
30;0.16640425;0.103722095;0.103722095;1420465011032
31;0.060581565;-0.028453827;-0.028453827;1420465011057
32;0.02690792;0.0023198128;0.0023198128;1420465011071
33;0.03013742;-0.028056622;-0.028056622;1420465011091
34;-0.038999796;-0.026427746;-0.026427746;1420465011117
35;-0.06821847;-0.07873201;-0.07873201;1420465011134
36;-0.09558022;0.010325909;0.010325909;1420465011150
37;-0.20220745;0.03657055;0.03657055;1420465011171
38;-0.11810243;-1.4925003E-4;-1.4925003E-4;1420465011190
39;-0.038173437;0.03436613;0.03436613;1420465011215
40;0.048778415;-0.034273624;-0.034273624;1420465011232
41;-0.13495147;1.5258789E-4;1.5258789E-4;1420465011249
42;-0.035146475;-0.08494043;-0.08494043;1420465011268
43;-0.07076967;-0.06462145;-0.06462145;1420465011288
44;-0.08871633;0.059431553;0.059431553;1420465011315
45;-0.002023995;0.07820177;0.07820177;1420465011333
46;0.28720474;0.0121798515;0.0121798515;1420465011350
47;0.24007463;0.35839224;0.35839224;1420465011367
48;0.11640227;0.16791534;0.16791534;1420465011388
49;0.016916633;-0.041957855;-0.041957855;1420465011409
50;-0.44012642;0.052687168;0.052687168;1420465011434
51;-0.06702328;-0.19882202;-0.19882202;1420465011450
52;-0.09337473;0.012435436;0.012435436;1420465011469
53;-0.26544356;0.2130351;0.2130351;1420465011486
54;-0.8187169;0.44049168;0.44049168;1420465011506
55;-0.031244159;-1.2474327;-1.2474327;1420465011525
56;1.5812669;0.8645797;0.8645797;1420465011549
57;1.2374603;0.86417484;0.86417484;1420465011568
58;-0.14223182;-0.76452017;-0.76452017;1420465011585
59;0.030108452;-1.4442878;-1.4442878;1420465011607
60;0.20873034;-0.65841246;-0.65841246;1420465011624
61;2.1222038;0.1932311;0.1932311;1420465011644
62;1.1309122;0.2652645;0.2652645;1420465011667
63;-1.2990144;-2.088078;-2.088078;1420465011685
64;-1.1095285;-1.486155;-1.486155;1420465011703
65;0.034909964;-1.1791835;-1.1791835;1420465011722
66;2.3884847;-0.45847178;-0.45847178;1420465011742
67;0.34887165;-1.6129441;-1.6129441;1420465011768
68;-0.2014691;-1.1296458;-1.1296458;1420465011786
69;-2.7728915;-0.59410334;-0.59410334;1420465011804
70;-0.42067847;-1.2091126;-1.2091126;1420465011821
71;2.066485;-0.20153666;-0.20153666;1420465011841
72;1.1834509;-0.11887121;-0.11887121;1420465011861
73;-0.058772147;-1.4244165;-1.4244165;1420465011886
74;0.40379906;-1.6130624;-1.6130624;1420465011904
75;1.7992165;-1.9922538;-1.9922538;1420465011922
76;0.09615612;-2.9821873;-2.9821873;1420465011940
77;-1.24758;-0.7512708;-0.7512708;1420465011959
78;1.4140074;-2.7924457;-2.7924457;1420465011992
79;1.3177769;-1.7848535;-1.7848535;1420465012004
80;1.7095265;-1.7692566;-1.7692566;1420465012021
81;0.31507093;-0.29686213;-0.29686213;1420465012038
82;-2.2388585;-2.025627;-2.025627;1420465012059
83;-0.22499916;-0.2502216;-0.2502216;1420465012078
84;0.21890908;-0.9192029;-0.9192029;1420465012103
85;1.0842391;0.39043725;0.39043725;1420465012121
86;1.1328125;0.25702894;0.25702894;1420465012140
87;0.2284258;-0.58935463;-0.58935463;1420465012158
88;-0.56176174;-0.10043293;-0.10043293;1420465012177
89;-1.1442343;0.34534293;0.34534293;1420465012197
90;1.2780671;1.0119778;1.0119778;1420465012225
91;1.9554176;1.1578499;1.1578499;1420465012238
92;-1.852196;-0.4741679;-0.4741679;1420465012256
93;-2.6506526;0.71323705;0.71323705;1420465012275
94;0.044455588;1.2875429;1.2875429;1420465012295
95;1.3460323;1.4130461;1.4130461;1420465012322
96;3.6601572;0.8980125;0.8980125;1420465012339
97;3.8486967;0.38070756;0.38070756;1420465012357
98;1.8126538;0.78914815;0.78914815;1420465012374
99;-0.20294225;-0.8589734;-0.8589734;1420465012395
100;-0.50243795;-1.4782145;-1.4782145;1420465012414
101;-0.3081982;-1.4083873;-1.4083873;1420465012440
102;-0.28569257;-0.8996129;-0.8996129;1420465012456
103;-0.94885993;-0.82198477;-0.82198477;1420465012473
104;2.1825604;1.0636535;1.0636535;1420465012492
105;0.2997005;-0.91609764;-0.91609764;1420465012512
106;-0.36806893;-1.8436252;-1.8436252;1420465012539
107;0.95075345;-0.47391915;-0.47391915;1420465012557
108;1.7294328;0.37227654;0.37227654;1420465012576
109;0.8771647;-0.6710042;-0.6710042;1420465012591
110;-0.922503;-1.3335665;-1.3335665;1420465012611
111;-1.4767197;-2.2342687;-2.2342687;1420465012630
112;-0.60458946;-1.627626;-1.627626;1420465012657
113;-0.3012638;-2.5381048;-2.5381048;1420465012674
114;0.8740393;-1.7277362;-1.7277362;1420465012692
115;0.9536598;-0.23963416;-0.23963416;1420465012709
116;-0.10693431;-0.91416705;-0.91416705;1420465012730
117;-1.098882;-1.1238602;-1.1238602;1420465012757
118;-2.4225357;-2.0859606;-2.0859606;1420465012775
119;-2.5700157;-2.090191;-2.090191;1420465012792
120;-1.3212967;-1.371063;-1.371063;1420465012809
121;0.6430664;-0.84955025;-0.84955025;1420465012829
122;3.1446557;3.6168098E-4;3.6168098E-4;1420465012848
123;2.5765882;-0.51966846;-0.51966846;1420465012876
124;1.7637801;-1.231183;-1.231183;1420465012896
125;1.5779586;-1.5237832;-1.5237832;1420465012914
126;2.3893328;-0.82062554;-0.82062554;1420465012928
127;3.0531626;0.3256483;0.3256483;1420465012948
128;1.5025494;-0.18882394;-0.18882394;1420465012977
129;-0.91739655;-1.7991576;-1.7991576;1420465012994
130;-2.7076652;-3.685231;-3.685231;1420465013005
131;-2.3067727;-2.0889606;-2.0889606;1420465013027
132;-0.77548873;-0.11516905;-0.11516905;1420465013045
133;0.53300256;1.1333694;1.1333694;1420465013066
134;-0.17045498;1.1483545;1.1483545;1420465013092
135;-0.42605734;0.81783676;0.81783676;1420465013112
136;2.009387;3.302133;3.302133;1420465013127
137;0.77736294;1.8647728;1.8647728;1420465013148
138;1.280203;2.4848728;2.4848728;1420465013163
139;-1.5567921;1.7940226;1.7940226;1420465013185
140;-3.8248663;-0.16846752;-0.16846752;1420465013212
141;-3.2485685;-0.93376875;-0.93376875;1420465013235
142;-2.6504092;-0.9433961;-0.9433961;1420465013243
143;-3.8420959;-2.3321357;-2.3321357;1420465013263
144;-2.8460917;-2.0728946;-2.0728946;1420465013284
145;-3.0084004;-2.734909;-2.734909;1420465013313
146;-1.3836045;-3.3115096;-3.3115096;1420465013340
147;2.9454038;-0.22975016;-0.22975016;1420465013341
148;3.4477468;0.2362709;0.2362709;1420465013368
149;4.0143695;-1.7485566;-1.7485566;1420465013381
150;4.625533;-2.858622;-2.858622;1420465013401
151;6.4210625;-1.9746032;-1.9746032;1420465013420
152;7.2861195;-0.5322819;-0.5322819;1420465013448
153;4.856575;-1.294343;-1.294343;1420465013469
154;2.5115747;-1.9729447;-1.9729447;1420465013480
155;1.03056;-2.252626;-2.252626;1420465013499
156;-0.93445015;-2.6937943;-2.6937943;1420465013519
157;-0.38367045;-1.4956908;-1.4956908;1420465013550
158;-1.4875692;-1.9802785;-1.9802785;1420465013569
159;-2.3917813;-3.1009374;-3.1009374;1420465013579
160;-2.5253568;-1.6812134;-1.6812134;1420465013598
161;-0.12275684;0.81441975;0.81441975;1420465013621
162;-0.5788585;-0.39305782;-0.39305782;1420465013649
163;-4.5753975;-2.7071958;-2.7071958;1420465013671
164;-1.9855014;-1.9594202;-1.9594202;1420465013677
165;-2.029192;-3.7081604;-3.7081604;1420465013701
166;-2.0091524;-3.9408116;-3.9408116;1420465013725
167;4.377464;1.3993769;1.3993769;1420465013737
168;10.242791;5.5692897;5.5692897;1420465013756
169;18.0442;11.232878;11.232878;1420465013784
170;2.7196736;-1.6020961;-1.6020961;1420465013801
171;-7.377119;-9.372516;-9.372516;1420465013822
172;-3.8050213;-5.253825;-5.253825;1420465013835
173;1.5728139;2.1920862;2.1920862;1420465013854
174;3.898919;3.9719071;3.9719071;1420465013883
175;2.978683;3.6824093;3.6824093;1420465013904
176;-2.972488;-0.13850975;-0.13850975;1420465013914
177;-4.7468586;-1.71067;-1.71067;1420465013934
178;-4.385449;-1.5958805;-1.5958805;1420465013955
179;-5.157379;-1.3349643;-1.3349643;1420465013983
180;-4.749095;-0.4304905;-0.4304905;1420465014001
181;-3.613456;0.045621872;0.045621872;1420465014022
182;-3.6724365;-0.6521816;-0.6521816;1420465014033
183;-2.6084812;-0.7665739;-0.7665739;1420465014052
184;2.6055996;1.6288576;1.6288576;1420465014077
185;2.0671759;0.4175253;0.4175253;1420465014101
186;-0.17596674;0.06332207;0.06332207;1420465014121
187;1.3642149;0.14521408;0.14521408;1420465014131
188;2.2903118;0.5903115;0.5903115;1420465014151
189;-0.29410505;-0.7056885;-0.7056885;1420465014172
190;-2.172286;-1.606751;-1.606751;1420465014201
191;-0.57719874;-0.30827045;-0.30827045;1420465014227
192;-0.1327796;0.4115348;0.4115348;1420465014230
193;-1.4529169;-1.1285677;-1.1285677;1420465014251
194;-2.5624557;-1.4817576;-1.4817576;1420465014269
195;-2.6144018;-1.1974168;-1.1974168;1420465014290
196;-2.8564596;-0.9564624;-0.9564624;1420465014319
197;-3.867002;-1.7162256;-1.7162256;1420465014341
198;-0.47833145;-0.29037285;-0.29037285;1420465014349
199;0.60435647;-0.7077341;-0.7077341;1420465014369
200;0.4993127;-1.5541725;-1.5541725;1420465014390
201;-0.18769935;-1.6206417;-1.6206417;1420465014421
202;-0.8296381;-2.2049007;-2.2049007;1420465014441
203;0.6865078;-1.5880995;-1.5880995;1420465014447
204;1.4093163;-1.1547813;-1.1547813;1420465014469
205;-1.6793653;-3.8019;-3.8019;1420465014489
206;-1.4089135;-1.2802687;-1.2802687;1420465014512
207;3.6115227;0.4058838;0.4058838;1420465014537
208;0.70176435;-2.6683588;-2.6683588;1420465014557
209;-1.1128068;-2.1382847;-2.1382847;1420465014566
210;2.3560183;1.1804094;1.1804094;1420465014587
211;-4.2133684;-1.8783283;-1.8783283;1420465014609
212;1.844801;3.6082067;3.6082067;1420465014637
213;10.302215;5.5708494;5.5708494;1420465014658
214;7.064069;3.0891771;3.0891771;1420465014665
215;-1.0873055;1.1865463;1.1865463;1420465014688
216;-2.3461132;0.32686996;0.32686996;1420465014709
217;-2.073885;-1.4105177;-1.4105177;1420465014725
