2;x;y;z;time
0;-0.50165117;-0.105956554;-0.105956554;1420465105886
1;-0.19372582;-0.2962618;-0.2962618;1420465105957
2;-0.14440274;-0.047867775;-0.047867775;1420465105957
3;-0.012725353;0.01928854;0.01928854;1420465105957
4;-0.086888075;-0.09812403;-0.09812403;1420465105963
5;-0.006321192;-0.079033375;-0.079033375;1420465106052
6;-0.18117738;-0.11891079;-0.11891079;1420465106052
7;-0.28911293;-0.24732971;-0.24732971;1420465106052
8;-0.036673784;-0.07579517;-0.07579517;1420465106052
9;0.28914797;-0.06395149;-0.06395149;1420465106061
10;0.28671408;0.082467556;0.082467556;1420465106160
11;0.11948621;0.2921095;0.2921095;1420465106160
12;0.021014452;0.11545849;0.11545849;1420465106160
13;-0.015229344;-0.14244795;-0.14244795;1420465106160
14;-0.61747825;-0.054671288;-0.054671288;1420465106160
15;-0.6224793;-0.26687717;-0.26687717;1420465106267
16;-0.29148924;-0.4297514;-0.4297514;1420465106267
17;-0.5607821;-0.2569785;-0.2569785;1420465106267
18;-0.5275583;-0.28094196;-0.28094196;1420465106267
19;0.05048549;-0.24913979;-0.24913979;1420465106267
20;-0.32192564;-0.49170732;-0.49170732;1420465106353
21;-1.6072692;-1.1228747;-1.1228747;1420465106353
22;-1.8671954;-1.4302487;-1.4302487;1420465106353
23;-0.4178354;-0.48205614;-0.48205614;1420465106353
24;0.16525316;-0.06927681;-0.06927681;1420465106439
25;-0.36517638;-0.3951125;-0.3951125;1420465106439
26;-0.3986193;-0.6183815;-0.6183815;1420465106439
27;0.14368999;-0.56383276;-0.56383276;1420465106439
28;0.6599181;-0.14158249;-0.14158249;1420465106439
29;0.12819791;-0.122609615;-0.122609615;1420465106541
30;-0.316732;0.061235905;0.061235905;1420465106541
31;0.19009364;-0.252738;-0.252738;1420465106541
32;0.607195;-0.105721;-0.105721;1420465106541
33;0.6501565;-0.10941172;-0.10941172;1420465106541
34;0.8811352;-0.09682369;-0.09682369;1420465106628
35;0.9511148;-0.07328081;-0.07328081;1420465106628
36;0.90632427;-0.06329441;-0.06329441;1420465106629
37;1.0453136;-0.09012461;-0.09012461;1420465106629
38;0.71827376;-0.21720362;-0.21720362;1420465106633
39;0.45384085;-0.3218298;-0.3218298;1420465106715
40;0.64592594;0.18368626;0.18368626;1420465106716
41;0.7647373;1.2434564;1.2434564;1420465106716
42;3.3669941;1.0528643;1.0528643;1420465106716
43;1.5803629;1.5031116;1.5031116;1420465106801
44;1.379035;0.34544826;0.34544826;1420465106802
45;-0.7703069;-0.11755872;-0.11755872;1420465106802
46;0.15491861;-0.1360302;-0.1360302;1420465106802
47;0.58515155;0.41972733;0.41972733;1420465106890
48;-0.16704237;0.080022335;0.080022335;1420465106891
49;0.11934996;0.45184517;0.45184517;1420465106891
50;0.5222584;0.31606722;0.31606722;1420465106891
51;0.12568295;-0.0567019;-0.0567019;1420465106891
52;0.5530398;0.30773044;0.30773044;1420465106975
53;-0.00484097;0.22540593;0.22540593;1420465106976
54;-0.4864443;-0.25818086;-0.25818086;1420465106976
55;-0.78196365;-0.112206936;-0.112206936;1420465106976
56;-0.2874657;0.029947042;0.029947042;1420465106988
57;-0.12830967;0.0048525333;0.0048525333;1420465107073
